vehicle_id,line_number,route_id,nearest_stop,delay_seconds,delay_minutes,timestamp_local,date,hour,dow,is_weekend,season,latitude,longitude
22/1235,24,1024,1140156,6252,104.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.180179595947266,24.916301727294922
21/28,713,4713,4930236,2532,42.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.27159118652344,25.094032287597656
22/1061,582,2582,2714229,4032,67.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.265995025634766,24.73287582397461
22/1293,582,2582,2713217,4152,69.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.259979248046875,24.734649658203125
18/166,785K,9785K,9224210,6650,110.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.391258239746094,25.276140213012695
54/9,229,2229,2133226,6770,112.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.230812072753906,24.772785186767578
54/1,117,2117,2211210,2391,39.85,2025-10-15 11:59:51,2025-10-15,11,2,0,autumn,60.1817626953125,24.800382614135742
54/3,232,2232,3170271,-2290,-38.17,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.20711135864258,24.727642059326172
54/4,168,2168,2621212,2799,46.65,2025-10-15 11:59:39,2025-10-15,11,2,0,autumn,60.19870376586914,24.623443603515625
54/6,149,2149,2411259,3170,52.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.15018844604492,24.655269622802734
18/947,173,6173,6020209,2150,35.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.148765563964844,24.52539825439453
36/176,814,1814,1541162,2330,38.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.207557678222656,25.14402961730957
36/174,31,1031,1304105,6290,104.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.20579528808594,24.87595558166504
36/192,313,4313,4160211,1430,23.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.26327133178711,24.871976852416992
36/197,413,4413,4150267,2390,39.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.26115036010742,24.855051040649414
54/10,137,2137,2322209,590,9.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.17483139038086,24.752622604370117
54/14,148,2148,2411258,2990,49.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.15007400512695,24.655532836914062
54/11,119,2119,2212205,-2290,-38.17,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.169761657714844,24.791635513305664
54/15,166K,2166K,2521215,4585,76.42,2025-10-15 11:59:25,2025-10-15,11,2,0,autumn,60.18443298339844,24.58045768737793
22/1237,24,1024,1040130,4605,76.75,2025-10-15 11:59:45,2025-10-15,11,2,0,autumn,60.16984558105469,24.930953979492188
22/1235,24,1024,1140112,5390,89.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.185081481933594,24.91312026977539
58/820,701,1701,1401156,2527,42.12,2025-10-15 11:58:07,2025-10-15,11,2,0,autumn,60.275455474853516,24.996395111083984
21/28,713,4713,4930224,2691,44.85,2025-10-15 11:59:51,2025-10-15,11,2,0,autumn,60.26957321166992,25.09256935119629
22/1061,582,2582,2713203,4490,74.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.2533073425293,24.725910186767578
22/1293,582,2582,2715213,4130,68.83,2025-10-15 11:59:50,2025-10-15,11,2,0,autumn,60.270606994628906,24.753400802612305
18/166,785K,9785K,9224210,6868,114.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.391258239746094,25.276140213012695
54/9,229,2229,2133228,6748,112.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.228572845458984,24.76197624206543
54/1,117,2117,2213213,2488,41.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.18053436279297,24.818679809570312
54/3,232,2232,3170233,-2012,-33.53,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.209598541259766,24.727462768554688
54/4,168,2168,2621225,-1712,-28.53,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.20870590209961,24.636913299560547
54/6,149,2149,2413224,2548,42.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.15415573120117,24.644088745117188
18/947,173,6173,6020213,-812,-13.53,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.15209197998047,24.546926498413086
17/5,583K,5583K,2715238,2788,46.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.27827453613281,24.751567840576172
36/149,961B,9961B,4810201,-4892,-81.53,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.34846496582031,25.076601028442383
36/174,31,1031,1304105,6508,108.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.20579528808594,24.87595558166504
36/192,313,4313,4160202,2848,47.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.27120590209961,24.87063217163086
36/197,413,4413,4150237,3688,61.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.263607025146484,24.849472045898438
36/14,723,4723,4720216,2788,46.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.33195495605469,25.060693740844727
54/10,137,2137,2322237,628,10.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.174774169921875,24.73362159729004
54/14,148,2148,2411255,4348,72.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.150794982910156,24.648487091064453
54/11,119,2119,2212290,-1832,-30.53,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.17567825317383,24.790403366088867
20/5,583K,5583K,4150227,1829,30.48,2025-10-15 12:03:29,2025-10-15,12,2,0,autumn,60.26973342895508,24.84274673461914
20/17,583,5583,4510258,5668,94.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.295921325683594,24.9377498626709
22/1235,24,1024,1150125,5788,96.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.18714904785156,24.898283004760742
21/28,713,4713,4930224,2908,48.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.26957321166992,25.09256935119629
22/1098,582,2582,2611251,5728,95.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.20698547363281,24.660526275634766
22/1293,582,2582,2715241,4168,69.47,2025-10-15 12:03:28,2025-10-15,12,2,0,autumn,60.28622817993164,24.74609375
18/166,785K,9785K,9224210,7085,118.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.391258239746094,25.276140213012695
54/9,229,2229,2151210,6605,110.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.22971725463867,24.741086959838867
54/1,117,2117,2213205,2465,41.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.175174713134766,24.825498580932617
54/2,207,2207,2111248,6906,115.1,2025-10-15 12:07:06,2025-10-15,12,2,0,autumn,60.226585388183594,24.807096481323242
54/3,232,2232,3170246,-4855,-80.92,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.21196365356445,24.719362258911133
54/4,168,2168,2621234,-1316,-21.93,2025-10-15 12:07:04,2025-10-15,12,2,0,autumn,60.20384216308594,24.62676239013672
54/6,149,2149,2413223,2465,41.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.14853286743164,24.63759422302246
18/947,173,6173,6020249,-835,-13.92,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.14749526977539,24.582477569580078
36/192,313,4313,4160201,2525,42.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.271141052246094,24.870607376098633
36/197,413,4413,4150221,4025,67.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.263671875,24.853506088256836
12/2228,737K,4737K,4810298,-4735,-78.92,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.34668731689453,25.07592010498047
36/14,723,4723,4740215,1985,33.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.322635650634766,25.06218147277832
54/10,137,2137,2323247,-175,-2.92,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.17313766479492,24.729150772094727
54/14,148,2148,2412223,3005,50.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.14060974121094,24.662094116210938
54/11,119,2119,2212285,-1315,-21.92,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.174015045166016,24.794109344482422
17/48,583,5583,4520265,6426,107.1,2025-10-15 12:07:06,2025-10-15,12,2,0,autumn,60.303192138671875,24.955848693847656
22/1235,24,1024,1150129,6065,101.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.188350677490234,24.88956069946289
21/28,713,4713,4930206,6065,101.08,2025-10-15 12:07:05,2025-10-15,12,2,0,autumn,60.265907287597656,25.097370147705078
54/9,229,2229,2151200,6646,110.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.2287483215332,24.750646591186523
54/1,117,2117,2213208,2506,41.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.178524017333984,24.81545066833496
54/2,207,2207,2111226,7067,117.78,2025-10-15 12:10:47,2025-10-15,12,2,0,autumn,60.22610092163086,24.811954498291016
54/3,232,2232,3170250,-1034,-17.23,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.21033477783203,24.707679748535156
54/4,168,2168,2621217,2926,48.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.205692291259766,24.641578674316406
54/6,149,2149,2413219,2446,40.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.15229034423828,24.63958168029785
